წყარო,სათაური,ავტორი,აბსოლუტური ლინკი,ISBN,ფასი,ყდა
არტანუჯი,დუბლინელები,ჯეიმზ ჯოისი,https://www.artanuji.ge/book_ge.php?id=381,9789941478871,19.95,https://www.artanuji.ge/img-site/upload/books/thumb_8920959802.jpg
არტანუჯი,ეროვნული ხელისუფლების 419 დღე,"გიორგი არქანია, გიგი გიოშვილი, გიორგი ჯავახიშვილი, გიორგი ბუცხრიკიძე",https://www.artanuji.ge/book_ge.php?id=380,ინფორმაცია არ არის,0.00,https://www.artanuji.ge/img-site/upload/books/thumb_3020771299.jpg
არტანუჯი,ოთარ ჭილაძე,65 ამბავი,https://www.artanuji.ge/book_ge.php?id=379,978-9941-478-82-6,11.95,https://www.artanuji.ge/img-site/upload/books/thumb_3756676707.jpg
არტანუჯი,მემუარები,ბაბო შარვაშიძე,https://www.artanuji.ge/book_ge.php?id=378,978-9941-478-75-8,14.95,https://www.artanuji.ge/img-site/upload/books/thumb_8445284217.jpg
არტანუჯი,თამაზ ჭილაძე,55 ამბავი,https://www.artanuji.ge/book_ge.php?id=377,ინფორმაცია არ არის,12.00,https://www.artanuji.ge/img-site/upload/books/thumb_7674612598.jpg
არტანუჯი,მიგელ დე სერვანტესის არაჩვეულებრივი თავგადასავალი,ემა ვიგოდსკაია,https://www.artanuji.ge/book_ge.php?id=376,9789941478529,30.00,https://www.artanuji.ge/img-site/upload/books/thumb_8094788547.jpg
არტანუჯი,დიდი გასეირნება ლიტერატურაში,ლევან ბერძენიშვილი ,https://www.artanuji.ge/book_ge.php?id=375,ინფორმაცია არ არის,22.00,https://www.artanuji.ge/img-site/upload/books/thumb_6041659633.jpg
არტანუჯი,პენელოპე. მგზავრი,შორენა ლებანიძე,https://www.artanuji.ge/book_ge.php?id=374,9789941478741,12.00,https://www.artanuji.ge/img-site/upload/books/thumb_5231261011.jpg
არტანუჯი,ოსმალოს საქართველოს შესახებ,გუსტავ რადე,https://www.artanuji.ge/book_ge.php?id=373,ინფორმაცია არ არის,6.95,https://www.artanuji.ge/img-site/upload/books/thumb_1592538612.jpg
არტანუჯი,სპილო წყვდიადში,ზურაბ გურული,https://www.artanuji.ge/book_ge.php?id=372,9789941478673,16.95,https://www.artanuji.ge/img-site/upload/books/thumb_3162591219.jpg
არტანუჯი,ჯოისის ლაბირინთი,თემურ გაბუნია,https://www.artanuji.ge/book_ge.php?id=371,9789941478680,14.00,https://www.artanuji.ge/img-site/upload/books/thumb_6873847059.jpg
არტანუჯი,150 ამბავი მუსიკაზე,გია ბუღაძე,https://www.artanuji.ge/book_ge.php?id=370,9789941478666,19.00,https://www.artanuji.ge/img-site/upload/books/thumb_9453482199.jpg
არტანუჯი,ვეფხისტყაოსანი - II ნაწილი,შოთა რუსთაველი,https://www.artanuji.ge/book_ge.php?id=369,ინფორმაცია არ არის,9.95,https://www.artanuji.ge/img-site/upload/books/thumb_1609824062.jpg
არტანუჯი,არტთერაპია ფსიქიკური დარღვევების დროს,"ფლორა ფონ შპრეტი, ფილიპ მარციუსი, ჰანს ფიორსტლი",https://www.artanuji.ge/book_ge.php?id=368,9789941478659,48.95,https://www.artanuji.ge/img-site/upload/books/thumb_7603094880.jpg
არტანუჯი,წყვდიადის გული,ჯოზეფ კონრადი,https://www.artanuji.ge/book_ge.php?id=367,9789941478642,16.95,https://www.artanuji.ge/img-site/upload/books/thumb_4739070343.jpg
არტანუჯი,რამსფელდის წესები,დონალდ რამსფელდი,https://www.artanuji.ge/book_ge.php?id=366,9789941478499,24.95,https://www.artanuji.ge/img-site/upload/books/thumb_7787182074.JPG
არტანუჯი,უცნობი,ვახტანგ ჯავახაძე,https://www.artanuji.ge/book_ge.php?id=365,978-9941-478-48-2,49.95,https://www.artanuji.ge/img-site/upload/books/thumb_4267259133.jpg
არტანუჯი,თხზულებანი (ტომი VI),ექვთიმე თაყაიშვილი,https://www.artanuji.ge/book_ge.php?id=364,9789941478468,39.95,https://www.artanuji.ge/img-site/upload/books/thumb_6275305156.jpg
არტანუჯი,თხზულებანი (ტომი V),ექვთიმე თაყაიშვილი,https://www.artanuji.ge/book_ge.php?id=363,9789941478437,35.00,https://www.artanuji.ge/img-site/upload/books/thumb_8628914295.jpg
არტანუჯი,13 წელიწადი კოლხურ კოშკში,დალი ლოლუა,https://www.artanuji.ge/book_ge.php?id=362,ინფორმაცია არ არის,0.00,https://www.artanuji.ge/img-site/upload/books/thumb_9546987256.jpg
არტანუჯი,თბილისის თავგადასავალი,ალექსანდრე ელისაშვილი,https://www.artanuji.ge/book_ge.php?id=361,ინფორმაცია არ არის,14.95,https://www.artanuji.ge/img-site/upload/books/thumb_4956742413.jpg
არტანუჯი,ვეფხისტყაოსანი,შოთა რუსთაველი,https://www.artanuji.ge/book_ge.php?id=360,9789941478604,24.95,https://www.artanuji.ge/img-site/upload/books/thumb_4337600031.jpg
არტანუჯი,ზღვას ვევედრები,ხალიდ ჰოსეინი,https://www.artanuji.ge/book_ge.php?id=359,9789941123456,21.95,https://www.artanuji.ge/img-site/upload/books/thumb_4082577852.jpg
არტანუჯი,Тетрадь (РУССКИЙ ЯЗЫК) - ს I,"მაია ლორდქიფანიძე, ირინა ჩხეიძე, თამარ ჩიმაკაძე",https://www.artanuji.ge/book_ge.php?id=358,ინფორმაცია არ არის,4.50,https://www.artanuji.ge/img-site/upload/books/thumb_6550322505.jpg
არტანუჯი,Русский Язык (რუსული ენა) ს I,"მაია ლორდქიფანიძე, ირინა ჩხეიძე, თამარ ჩიმაკაძე",https://www.artanuji.ge/book_ge.php?id=357,ინფორმაცია არ არის,8.40,https://www.artanuji.ge/img-site/upload/books/thumb_6670280941.jpg
არტანუჯი,150 ამბავი გურიასა და გურულებზე,ირაკლი მახარაძე,https://www.artanuji.ge/book_ge.php?id=356,978-9941-478-57-4,14.90,https://www.artanuji.ge/img-site/upload/books/thumb_4432177520.jpg
არტანუჯი,ნაპოვნი დრო,მარსელ პრუსტი,https://www.artanuji.ge/book_ge.php?id=355,ინფორმაცია არ არის,0.00,https://www.artanuji.ge/img-site/upload/books/thumb_2840746324.jpg
არტანუჯი,დაუმარცხებლები,უილიამ ფოლკნერი,https://www.artanuji.ge/book_ge.php?id=354,9789941478789,24.95,https://www.artanuji.ge/img-site/upload/books/thumb_2611896898.jpg
არტანუჯი,იმ დროს,გელა ჩარკვიანი,https://www.artanuji.ge/book_ge.php?id=353,978-9941-478-01-7,10.00,https://www.artanuji.ge/img-site/upload/books/thumb_7741726757.jpg
არტანუჯი,გეოგრაფიული ფაქტორი და ქართული კულტურა,ტარიელ გვალია,https://www.artanuji.ge/book_ge.php?id=352,978-9941-463-72-3,0.00,https://www.artanuji.ge/img-site/upload/books/thumb_1875169901.jpg
არტანუჯი,ლაზური ტექსტები,ნოდარ კაკაბაძე,https://www.artanuji.ge/book_ge.php?id=351,978-9941-478-32-1,13.40,https://www.artanuji.ge/img-site/upload/books/thumb_8083886406.jpg
არტანუჯი,დღიური შარდენის მოგზაურობისა,ჟან შარდენი,https://www.artanuji.ge/book_ge.php?id=350,ინფორმაცია არ არის,19.95,https://www.artanuji.ge/img-site/upload/books/thumb_1301324497.jpg
არტანუჯი,სამეგრელო,ჟიულ მურიე,https://www.artanuji.ge/book_ge.php?id=349,ინფორმაცია არ არის,24.95,https://www.artanuji.ge/img-site/upload/books/thumb_3804529868.jpg
არტანუჯი,იმპრესიონსტები / 60 ამბავი,ფრიდონ საყვარელიძე,https://www.artanuji.ge/book_ge.php?id=347,9789941478208,14.00,https://www.artanuji.ge/img-site/upload/books/thumb_5528806489.jpg
არტანუჯი,ზღვარზე,გურამ წიბახაშვილი,https://www.artanuji.ge/book_ge.php?id=346,ინფორმაცია არ არის,64.00,https://www.artanuji.ge/img-site/upload/books/thumb_9181898846.jpg
არტანუჯი,საქართველოს დემოკრატიული რესპუბლიკა,100 წელი/100ამბავი,https://www.artanuji.ge/book_ge.php?id=345,ინფორმაცია არ არის,10.00,https://www.artanuji.ge/img-site/upload/books/thumb_4184731016.jpg
არტანუჯი,100 უცნაური ამბავი ცხოველთა სამყაროზე,კახა კუდავა,https://www.artanuji.ge/book_ge.php?id=344,978-9941-478-33-8,8.40,https://www.artanuji.ge/img-site/upload/books/thumb_6445879256.jpg
არტანუჯი,ვაჟა-ფშაველა,156 ამბავი,https://www.artanuji.ge/book_ge.php?id=343,978-9941-478-30-7,15.00,https://www.artanuji.ge/img-site/upload/books/thumb_9007561001.jpg
არტანუჯი,მერაბ კოსტავა,79 ამბავი,https://www.artanuji.ge/book_ge.php?id=342,9789941478277,10.00,https://www.artanuji.ge/img-site/upload/books/thumb_3898221245.jpg
არტანუჯი,ქართველები უცხოელთა თვალით (XV-XVII სს),ალექსანდრე მიქაბერიძე,https://www.artanuji.ge/book_ge.php?id=341,ინფორმაცია არ არის,14.40,https://www.artanuji.ge/img-site/upload/books/thumb_8516225474.jpg
არტანუჯი,ძველი ქართული რეკლამა,150 განცხადება,https://www.artanuji.ge/book_ge.php?id=340,9789941478215,10.00,https://www.artanuji.ge/img-site/upload/books/thumb_5054521407.jpg
არტანუჯი,საქართველო უცხოელთა თვალით (XV-XVII სს.),ალექსანდრე მიქაბერიძე,https://www.artanuji.ge/book_ge.php?id=339,9789941478260,14.40,https://www.artanuji.ge/img-site/upload/books/thumb_266972775.jpg
არტანუჯი,5 რომანი,გრიგოლ რობაქიძე ,https://www.artanuji.ge/book_ge.php?id=338,9789941463617,35.00,https://www.artanuji.ge/img-site/upload/books/thumb_8995062960.jpg
არტანუჯი,უკანასკნელი მოწმეები,სვეტლანა ალექსიევიჩი ,https://www.artanuji.ge/book_ge.php?id=337,978-9941-478-19-2,19.90,https://www.artanuji.ge/img-site/upload/books/thumb_561978109.jpg
არტანუჯი,ვეფხისტყაოსანი,შოთა რუსთაველი,https://www.artanuji.ge/book_ge.php?id=336,ინფორმაცია არ არის,85.00,https://www.artanuji.ge/img-site/upload/books/thumb_7746878946.jpg
არტანუჯი,რატომ ირჩევენ რუსები პუტინს,ბერნარ ლ. მორი,https://www.artanuji.ge/book_ge.php?id=335,978-9941-476-09-9,24.00,https://www.artanuji.ge/img-site/upload/books/thumb_666359616.jpg
არტანუჯი,დიმიტრი ყიფიანი,131 ამბავი,https://www.artanuji.ge/book_ge.php?id=334,978-9941-478-16-1,11.20,https://www.artanuji.ge/img-site/upload/books/thumb_8789960001.jpg
არტანუჯი,ტომი 18,ქართული დიპლომატია. წელიწდეული. ,https://www.artanuji.ge/book_ge.php?id=333,1512-1518,0.00,https://www.artanuji.ge/img-site/upload/books/thumb_2216292591.jpg
არტანუჯი,50 ალბომით შემოპარული თავისუფლება,ნიკა რურუა,https://www.artanuji.ge/book_ge.php?id=332,978-9941-478-06-2,11.70,https://www.artanuji.ge/img-site/upload/books/thumb_6609632936.jpg
არტანუჯი,სასაზღვრო ფიქრები,ფარნა-ბექა ჩილაშვილი ,https://www.artanuji.ge/book_ge.php?id=331,9994055429,5.40,https://www.artanuji.ge/img-site/upload/books/thumb_4060080703.jpg
არტანუჯი,სანამ თოვს,ფარნა-ბექა ჩილაშვილი ,https://www.artanuji.ge/book_ge.php?id=330,9789941421402,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_3813606863.jpg
არტანუჯი,ერთი წვეთი ლიმონი,ფარნა-ბექა ჩილაშვილი ,https://www.artanuji.ge/book_ge.php?id=329,ინფორმაცია არ არის,9.00,https://www.artanuji.ge/img-site/upload/books/thumb_5848851194.jpg
არტანუჯი,14 აპრილი,1978,https://www.artanuji.ge/book_ge.php?id=328,978-9941-478-08-6,21.90,https://www.artanuji.ge/img-site/upload/books/thumb_3999053300.jpg
