წყარო,სათაური,ავტორი,აბსოლუტური ლინკი,ISBN,ფასი,ყდა
არტანუჯი,პეტერბურგი,ანდრეი ბელი,https://www.artanuji.ge/book_ge.php?id=285,978-9941-445-84-2,18.00,https://www.artanuji.ge/img-site/upload/books/thumb_5715269977.jpg
არტანუჯი,120 ამბავი,ალექსანდრე მაკედონელი,https://www.artanuji.ge/book_ge.php?id=284,978-9941-463-45-7,10.00,https://www.artanuji.ge/img-site/upload/books/thumb_7924232878.jpg
არტანუჯი,სექენდ ჰენდის დრო,სვეტლანა ალექსიევიჩი ,https://www.artanuji.ge/book_ge.php?id=283,978-9941-463-47-1,22.00,https://www.artanuji.ge/img-site/upload/books/thumb_7278052279.jpg
არტანუჯი,მანანა ანუა – ტყვეობის ორმოცდათორმეტი დღე,შორენა ლებანიძე,https://www.artanuji.ge/book_ge.php?id=282,978-9941-463-42-6,0.00,https://www.artanuji.ge/img-site/upload/books/thumb_5184340565.jpg
არტანუჯი,პირადი მიმოწერა,მარი ბროსე,https://www.artanuji.ge/book_ge.php?id=281,978-9941-463-29-7,16.00,https://www.artanuji.ge/img-site/upload/books/thumb_9940418698.jpg
არტანუჯი,ქრონიკები (II ტომი),თედო ჟორდანია,https://www.artanuji.ge/book_ge.php?id=280,9789941478147,75.00,https://www.artanuji.ge/img-site/upload/books/thumb_4376045330.jpg
არტანუჯი,რუსოფობია,ნუგზარ ზაზანაშვილი,https://www.artanuji.ge/book_ge.php?id=279,978-9941-463-79-2,22.00,https://www.artanuji.ge/img-site/upload/books/thumb_7620833199.jpg
არტანუჯი,თხზულებანი (ტომი I),ექვთიმე თაყაიშვილი,https://www.artanuji.ge/book_ge.php?id=278,978-9941-463-96-9,35.00,https://www.artanuji.ge/img-site/upload/books/thumb_7614208315.jpg
არტანუჯი,დიდი ექვთიმე,ავტორთა კოლექტივი,https://www.artanuji.ge/book_ge.php?id=277,978-9941-445-70-5,29.00,https://www.artanuji.ge/img-site/upload/books/thumb_3989534825.jpg
არტანუჯი,წერილები,ვახტანგ კოტეტიშვილი,https://www.artanuji.ge/book_ge.php?id=276,978-9994-463-98-3,25.00,https://www.artanuji.ge/img-site/upload/books/thumb_2093601664.jpg
არტანუჯი,200 ამბავი მხატვრობაზე,გია ბუღაძე,https://www.artanuji.ge/book_ge.php?id=275,978-9941-463-39-6,24.00,https://www.artanuji.ge/img-site/upload/books/thumb_3154614223.jpg
არტანუჯი,უცნობი პორტისკენ,ანა დოლიძე,https://www.artanuji.ge/book_ge.php?id=273,978-9941-463-34-1,12.00,https://www.artanuji.ge/img-site/upload/books/thumb_4398850295.jpg
არტანუჯი,მძღოლის მეგობარი,გოგა გაგნიძე,https://www.artanuji.ge/book_ge.php?id=272,978-9941-463-91-4,11.00,https://www.artanuji.ge/img-site/upload/books/thumb_788956410.jpg
არტანუჯი,ცისარტყელა განთიადისას,ნინო ტაბიძე,https://www.artanuji.ge/book_ge.php?id=271,ინფორმაცია არ არის,11.20,https://www.artanuji.ge/img-site/upload/books/thumb_9115930036.jpg
არტანუჯი,მადამ გილიოტინას საყვარლები,ფრიდონ საყვარელიძე,https://www.artanuji.ge/book_ge.php?id=270,978-9941-463-13-6,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_7175882006.jpg
არტანუჯი,დრო და დრამები,ლერი ალიმონაკი,https://www.artanuji.ge/book_ge.php?id=269,978-9941-463-20-4,9.60,https://www.artanuji.ge/img-site/upload/books/thumb_4295334410.jpg
არტანუჯი,"ის, რაც გაგვაძლიერებს",ნიკა რურუა,https://www.artanuji.ge/book_ge.php?id=268,978-9941-463-86-0,10.00,https://www.artanuji.ge/img-site/upload/books/thumb_2093871496.jpg
არტანუჯი,წიგნიერების ევოლუცია,ლევან ბერძენიშვილი ,https://www.artanuji.ge/book_ge.php?id=267,978-9941-463-23-5,14.00,https://www.artanuji.ge/img-site/upload/books/thumb_2835686630.jpg
არტანუჯი,პირადი წერილები,ნიკოლოზ ბარათაშვილი,https://www.artanuji.ge/book_ge.php?id=266,978-9941-463-08-2,14.00,https://www.artanuji.ge/img-site/upload/books/thumb_9552661562.jpg
არტანუჯი,უკანასკნელი ცისფერყანწელი,ნინო ჩხიკვიშვილი,https://www.artanuji.ge/book_ge.php?id=265,978-9941-445-94-1,13.00,https://www.artanuji.ge/img-site/upload/books/thumb_7226433199.jpg
არტანუჯი,"ფაზლი, ეტლი, წინდა",ჩვენი დროის ისტორიები,https://www.artanuji.ge/book_ge.php?id=264,978-9941-445-92-7,8.00,https://www.artanuji.ge/img-site/upload/books/thumb_6792684332.jpg
არტანუჯი,საქართველოს ოცწლამდელ მორაგბეთა ნაკრების ისტორიები,U 20,https://www.artanuji.ge/book_ge.php?id=263,978-9941-463-00-6,6.70,https://www.artanuji.ge/img-site/upload/books/thumb_7135328650.jpg
არტანუჯი,ირაკლი ფარჯიანი და შეხვედრის მეტაფიზიკა,ზაზა ფირალიშვილი,https://www.artanuji.ge/book_ge.php?id=262,978-9941-445-99-6,4.10,https://www.artanuji.ge/img-site/upload/books/thumb_8538234001.jpg
არტანუჯი,პირადი წერილები,კონსტანტინე გამსახურდია,https://www.artanuji.ge/book_ge.php?id=261,978-9941-445-95-8,12.50,https://www.artanuji.ge/img-site/upload/books/thumb_9804288968.jpg
არტანუჯი,პირველად იყო... ლაქა,ია ანთაძე,https://www.artanuji.ge/book_ge.php?id=260,978-9941-445-05-7,9.50,https://www.artanuji.ge/img-site/upload/books/thumb_1236670962.jpg
არტანუჯი,დღიური,მიხეილ ხერგიანი,https://www.artanuji.ge/book_ge.php?id=259,978-9941-463-04-4,10.50,https://www.artanuji.ge/img-site/upload/books/thumb_5614001355.jpg
არტანუჯი,მე და ჩემი წილი მამა,მანანა ამირეჯიბი,https://www.artanuji.ge/book_ge.php?id=258,978-9941-445-35-4,11.00,https://www.artanuji.ge/img-site/upload/books/thumb_7203089059.jpg
არტანუჯი,სტალინთან ურთიერთობის ეპიზოდები,კანდიდ ჩარკვიანი,https://www.artanuji.ge/book_ge.php?id=257,978-9941-445-90-3,12.00,https://www.artanuji.ge/img-site/upload/books/thumb_2320984299.jpg
არტანუჯი,თარგმანი და ორიგინალი,ლევან ბრეგაძე,https://www.artanuji.ge/book_ge.php?id=256,978-9941-445-65-1,10.40,https://www.artanuji.ge/img-site/upload/books/thumb_2714394419.jpg
არტანუჯი,ისევ მე ვარ?! ისევ მოვსულვარ!,ესმა ონიანი,https://www.artanuji.ge/book_ge.php?id=255,978-9941-463-01-3,15.00,https://www.artanuji.ge/img-site/upload/books/thumb_4672690946.jpg
არტანუჯი,ცხრათავიანი ფეხბურთის ზღაპარი,გიორგი კეკელიძე,https://www.artanuji.ge/book_ge.php?id=254,978-9941-445-89-7,6.00,https://www.artanuji.ge/img-site/upload/books/thumb_5163724482.jpg
არტანუჯი,მე რომ ფეხბურთელი ვიყო,დათო ტურაშვილი,https://www.artanuji.ge/book_ge.php?id=253,978-9941-445-96-5,10.80,https://www.artanuji.ge/img-site/upload/books/thumb_6142349182.jpg
არტანუჯი,ასი მილიონი გირვანქა სტერლინგით შორს,აკა მორჩილაძე,https://www.artanuji.ge/book_ge.php?id=252,978-9941-445-82-8,8.90,https://www.artanuji.ge/img-site/upload/books/thumb_7200127649.jpg
არტანუჯი,გვიანანტიკური საქართველოს სამხედრო ისტორია,ნიკა ხოფერია,https://www.artanuji.ge/book_ge.php?id=251,978-9941-445-85-9,8.00,https://www.artanuji.ge/img-site/upload/books/thumb_173322637.jpg
არტანუჯი,ვეფხისტყაოსანი,შოთა რუსთაველი,https://www.artanuji.ge/book_ge.php?id=250,978-9941-463-93-8,14.00,https://www.artanuji.ge/img-site/upload/books/thumb_8759959610.jpg
არტანუჯი,აზრები,ჰომეროსიდან ვუდი ალენამდე,https://www.artanuji.ge/book_ge.php?id=249,978-9941-463-92-1,18.00,https://www.artanuji.ge/img-site/upload/books/thumb_3913512304.jpg
არტანუჯი,ფერწერა / გრაფიკა / ილუსტრაცია,რუსუდან ფეტვიაშვილი,https://www.artanuji.ge/book_ge.php?id=248,978-9941-463-84-6,70.00,https://www.artanuji.ge/img-site/upload/books/thumb_1387345939.jpg
არტანუჯი,საქართველოს ისტორიის ატლასი,დავით მუსხელიშვილი,https://www.artanuji.ge/book_ge.php?id=247,978-9941-463-83-9,100.00,https://www.artanuji.ge/img-site/upload/books/thumb_8825296354.jpg
არტანუჯი,კულინარია ჰობად,Katy & Acho,https://www.artanuji.ge/book_ge.php?id=246,978-9941-463-82-2,19.95,https://www.artanuji.ge/img-site/upload/books/thumb_6280291695.jpg
არტანუჯი,ბალახის სიმაღლე,თემურ ჩხეტიანი,https://www.artanuji.ge/book_ge.php?id=245,978-9941-463-87-7,6.40,https://www.artanuji.ge/img-site/upload/books/thumb_508233681.jpg
არტანუჯი,ათასი მოელვარე მზე,ხალიდ ჰოსეინი,https://www.artanuji.ge/book_ge.php?id=243,978-9941-463-95-2,22.00,https://www.artanuji.ge/img-site/upload/books/thumb_7453786577.jpg
არტანუჯი,მთებმა მთებს უთხრეს,ხალიდ ჰოსეინი,https://www.artanuji.ge/book_ge.php?id=242,978-9941-463-28-0,15.00,https://www.artanuji.ge/img-site/upload/books/thumb_7173846545.jpg
არტანუჯი,ფრანით მორბენალი,ხალიდ ჰოსეინი,https://www.artanuji.ge/book_ge.php?id=241,978-9941-463-88-4,16.50,https://www.artanuji.ge/img-site/upload/books/thumb_4602361125.jpg
არტანუჯი,აეროპორტი,სერგეი ლოიკო,https://www.artanuji.ge/book_ge.php?id=240,978-9941-463-31-0,18.00,https://www.artanuji.ge/img-site/upload/books/thumb_6941495253.jpg
არტანუჯი,ხელოვანის პორტრეტი ახალგაზრდობისას,ჯეიმზ ჯოისი,https://www.artanuji.ge/book_ge.php?id=239,978-9941-463-26-6,12.00,https://www.artanuji.ge/img-site/upload/books/thumb_7032707408.jpg
არტანუჯი,ჭოროხივით მოღელავდა შენი გრძელი თმები,ქევსერ რუჰი (ქეთი ხანთაძე),https://www.artanuji.ge/book_ge.php?id=238,978-9941-463-16-7,6.00,https://www.artanuji.ge/img-site/upload/books/thumb_8016721783.jpg
არტანუჯი,სტალინი – ძალაუფლება და იდეები,13 ავტორი,https://www.artanuji.ge/book_ge.php?id=237,978-9941-445-39-2,14.10,https://www.artanuji.ge/img-site/upload/books/thumb_9203253770.jpg
არტანუჯი,"დიდი ძუძუ-მკერდი, განიერი გავა",მო იენი ,https://www.artanuji.ge/book_ge.php?id=236,978-9941-445-87-3,16.00,https://www.artanuji.ge/img-site/upload/books/thumb_9846905982.jpg
არტანუჯი,2 რომანი ,თეოდორ დოსტოევსკი ,https://www.artanuji.ge/book_ge.php?id=235,978-9941-445-81-1,12.00,https://www.artanuji.ge/img-site/upload/books/thumb_7164562754.jpg
არტანუჯი,მელა მაშინ უკვე მონადირე იყო,ჰერტა მიულერი,https://www.artanuji.ge/book_ge.php?id=234,978-9941-463-02-0,15.50,https://www.artanuji.ge/img-site/upload/books/thumb_9109078603.jpg
არტანუჯი,რუსული დღიური,ჯონ სტაინბეკი,https://www.artanuji.ge/book_ge.php?id=233,978-9941-463-10-5,13.00,https://www.artanuji.ge/img-site/upload/books/thumb_9118635598.jpg
არტანუჯი,ტორტილა ფლეტი,ჯონ სტაინბეკი,https://www.artanuji.ge/book_ge.php?id=232,978-9941-445-97-2,12.50,https://www.artanuji.ge/img-site/upload/books/thumb_7892080917.jpg
არტანუჯი,თაგვებსა და ადამიანებზე,ჯონ სტაინბეკი,https://www.artanuji.ge/book_ge.php?id=231,978-9941-445-32-3,9.50,https://www.artanuji.ge/img-site/upload/books/thumb_5545356399.jpg
არტანუჯი,როგორც თავად იტყოდა,მარგარეტ ტეთჩერი,https://www.artanuji.ge/book_ge.php?id=230,978-9941-445-93-4,21.00,https://www.artanuji.ge/img-site/upload/books/thumb_1643735920.jpg
არტანუჯი,ჩერნობილის ლოცვა,სვეტლანა ალექსიევიჩი ,https://www.artanuji.ge/book_ge.php?id=229,978-9941-445-34-7,18.00,https://www.artanuji.ge/img-site/upload/books/thumb_6130923856.jpg
არტანუჯი,სოდომი და გომორი,მარსელ პრუსტი,https://www.artanuji.ge/book_ge.php?id=228,978-9941-463-12-9,24.50,https://www.artanuji.ge/img-site/upload/books/thumb_2672991030.jpg
არტანუჯი,იასონის მოგზაურობა,ტიმ სევერინი,https://www.artanuji.ge/book_ge.php?id=227,978-9941-445-66-8,15.00,https://www.artanuji.ge/img-site/upload/books/thumb_5989955998.jpg
არტანუჯი,საქართველო – ომისა და პოლიტიკური ქაოსის ქრონიკა პოსტსაბჭოთა საქართველოში,თომას გოლცი,https://www.artanuji.ge/book_ge.php?id=226,978-9941-445-69-9,14.00,https://www.artanuji.ge/img-site/upload/books/thumb_7019619247.jpg
არტანუჯი,თბილისი წინათ და ახლა,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=225,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_55557587.jpg
არტანუჯი,ფერწერა,გია ბუღაძე,https://www.artanuji.ge/book_ge.php?id=224,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_3644675528.jpg
არტანუჯი,გრაფიკა,რუსუდან ფეტვიაშვილი,https://www.artanuji.ge/book_ge.php?id=223,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_5698133348.jpg
არტანუჯი,ფერწერა,რუსუდან ფეტვიაშვილი,https://www.artanuji.ge/book_ge.php?id=222,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_8732418292.jpg
არტანუჯი,ახალგაზრდა ქართველი მხატვრები,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=221,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_4630533116.jpg
არტანუჯი,გრაფიკა,ირაკლი ფარჯიანი,https://www.artanuji.ge/book_ge.php?id=220,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_8531717541.jpg
არტანუჯი,ფერწერა,ირაკლი ფარჯიანი,https://www.artanuji.ge/book_ge.php?id=219,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_6901627290.jpg
არტანუჯი,ფერწერა,ესმა ონიანი,https://www.artanuji.ge/book_ge.php?id=218,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_2067549717.jpg
არტანუჯი,გრაფიკა,ესმა ონიანი,https://www.artanuji.ge/book_ge.php?id=217,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_3920780820.jpg
არტანუჯი,XIX საუკუნის თბილისი,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=216,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_6687307599.jpg
არტანუჯი,ბათუმი 100 წლის წინ,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=215,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_1669326121.jpg
არტანუჯი,სოხუმი 100 წლის წინ,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=214,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_8546108687.jpg
არტანუჯი,ქუთაისი 100 წლის წინ,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=213,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_1184317888.jpg
არტანუჯი,მცხეთა 100 წლის წინ,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=212,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_5793859842.jpg
არტანუჯი,სვანეთი 100 წლის წინ,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=211,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_9550923900.jpg
არტანუჯი,თბილისი 100 წლის წინ,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=210,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_501187401.jpg
არტანუჯი,საქართველოს ქალაქები 100 წლის წინ,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=209,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_6458066003.jpg
არტანუჯი,ჯავახეთი,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=208,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_9939871118.jpg
არტანუჯი,სვანეთი,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=207,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_5077704899.jpg
არტანუჯი,აფხაზეთი,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=206,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_677133933.jpg
არტანუჯი,12 ილუსტრირებული არაკი,სულხან-საბა ორბელიანი,https://www.artanuji.ge/book_ge.php?id=205,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_7321537220.jpg
არტანუჯი,ქართული სამოსი,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=204,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_1191298663.jpg
არტანუჯი,ქართული სამზარეულო,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=203,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_4434895953.jpg
არტანუჯი,ღვინის კულტურა საქართველოში,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=202,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_5391262462.jpg
არტანუჯი,ხიდები საქართველოში,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=201,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_4121711496.jpg
არტანუჯი, ხიდები საქართველოში,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=200,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_2814698503.jpg
არტანუჯი,ქუთაისი,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=199,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_3660652227.jpg
არტანუჯი,ბათუმი ღამით,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=198,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_7229666113.jpg
არტანუჯი,ახალციხე,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=197,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_6413289126.jpg
არტანუჯი,ბათუმი,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=196,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_9851676048.jpg
არტანუჯი,თბილისი ღამით,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=195,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_3092913185.jpg
არტანუჯი,თბილისი,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=194,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_4980163085.jpg
არტანუჯი,სიღნაღი,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=193,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_9036537762.jpg
არტანუჯი,მარტვილი,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=192,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_8735842606.jpg
არტანუჯი,ტაო-კლარჯეთი,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=191,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_1784184500.jpg
არტანუჯი,ჩემი საქართველო,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=190,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_5643748608.jpg
არტანუჯი,საქართველო ანარეკლები,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=189,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_9400191381.jpg
არტანუჯი,ციდან დანახული საქართველო,ღია ბარათები,https://www.artanuji.ge/book_ge.php?id=188,000,7.00,https://www.artanuji.ge/img-site/upload/books/thumb_9283028114.jpg
არტანუჯი,პეჩორის თავადი, თამაზ ჯოლოგუა,https://www.artanuji.ge/book_ge.php?id=187,978-9941-445-22-4,6.00,https://www.artanuji.ge/img-site/upload/books/thumb_5998275689.jpg
არტანუჯი,ქართული ჟურნალისტიკის ისტორია, თამაზ ჯოლოგუა,https://www.artanuji.ge/book_ge.php?id=186,978-9941-445-25-5,19.50,https://www.artanuji.ge/img-site/upload/books/thumb_3061217740.jpg
არტანუჯი,თანამედროვე ქართული დრამატურგია,"თამარ ბართაია, ლაშა ბუღაძე, დავით გაბუნია, მანანა დოიაშვილი, ირაკლი სამსონაძე, ირაკლი სოლომანაშვილი, თამაზ ჭილაძე, დათო ტურაშვილი, ბასა ჯანიკაშვილი",https://www.artanuji.ge/book_ge.php?id=185,978-9941-463-06-8,12.50,https://www.artanuji.ge/img-site/upload/books/thumb_3628481435.jpg
არტანუჯი,ებრაული დრამატურგია,"ეჰოშუა სობოლი, სავიონ ლიბრეხტი, ხანოხ ლევინი, იოსეფ ბარ იოსეფი, ედნა მაზია",https://www.artanuji.ge/book_ge.php?id=184,978-9941-445-73-6,15.00,https://www.artanuji.ge/img-site/upload/books/thumb_9101858614.jpg
არტანუჯი,თანამერდოვე სპარსული დრამატურგია,"აქბარ რადი, ამირ დეჟაქამი, ყოთბ ედ-დინ სადეყი, ნაყმე სამინი, მოჰამად ჩარმშირი, ბაჰრამ ბეიზაი",https://www.artanuji.ge/book_ge.php?id=183,978-9941-445-30-9,15.00,https://www.artanuji.ge/img-site/upload/books/thumb_4480502032.jpg
არტანუჯი,წიგნი II,თანამედროვე გერმანულენოვანი დრამატურგია,https://www.artanuji.ge/book_ge.php?id=182,978-9941-445-31-6,14.90,https://www.artanuji.ge/img-site/upload/books/thumb_6827657227.jpg
არტანუჯი,წიგნი I,თანამედროვე გერმანულენოვანი დრამატურგია,https://www.artanuji.ge/book_ge.php?id=181,978-9941-445-09-5,15.90,https://www.artanuji.ge/img-site/upload/books/thumb_4503287281.jpg
არტანუჯი,საბავშვო ლოცვანი,ნანა ყუფარაძე,https://www.artanuji.ge/book_ge.php?id=180,978-9941-463-14-3,5.00,https://www.artanuji.ge/img-site/upload/books/thumb_6118455426.jpg
არტანუჯი,ტყისპირა ქოხიდან მოყოლილი ამბავი,ბესიკ კეკელიძე,https://www.artanuji.ge/book_ge.php?id=179,978-9941-445-76-7,8.90,https://www.artanuji.ge/img-site/upload/books/thumb_4136834042.jpg
არტანუჯი,ექიმი კოდალა,ირმა მალაციძე,https://www.artanuji.ge/book_ge.php?id=178,978-9941-463-24-2,15.00,https://www.artanuji.ge/img-site/upload/books/thumb_4475988727.jpg
არტანუჯი,ნამცეცა,ფარნა-ბექა ჩილაშვილი ,https://www.artanuji.ge/book_ge.php?id=177,978-9941-463-17-4,15.00,https://www.artanuji.ge/img-site/upload/books/thumb_273332637.jpg
არტანუჯი,ზღვის ვარსკვლავი სტელა,წყალგამძლე წიგნი,https://www.artanuji.ge/book_ge.php?id=176,978-9994-055-01-2,11.00,https://www.artanuji.ge/img-site/upload/books/thumb_1222658138.jpg
არტანუჯი,დასურათებული ატლასი ,ატლასი,https://www.artanuji.ge/book_ge.php?id=175,978-1405-304-07-8,18.50,https://www.artanuji.ge/img-site/upload/books/thumb_63134799.jpg
არტანუჯი,ზღაპრები,იტალიური,https://www.artanuji.ge/book_ge.php?id=174,978-9941-421-82-2,4.95,https://www.artanuji.ge/img-site/upload/books/thumb_344386496.jpg
არტანუჯი,ზღაპრები,ბრიტანული ,https://www.artanuji.ge/book_ge.php?id=173,978-9941-421-36-5,4.95,https://www.artanuji.ge/img-site/upload/books/thumb_3871205826.jpg
არტანუჯი, ზღაპრები,ბასკური,https://www.artanuji.ge/book_ge.php?id=172,978-9941-421-06-8,3.70,https://www.artanuji.ge/img-site/upload/books/thumb_5865235584.jpg
არტანუჯი,ზღაპრები,ესპანური,https://www.artanuji.ge/book_ge.php?id=171,978-9994-055-64-7,3.70,https://www.artanuji.ge/img-site/upload/books/thumb_2858392316.jpg
არტანუჯი,9 მოთხრობა,ვასილ ბარნოვი,https://www.artanuji.ge/book_ge.php?id=170,978-9994-055-78-4,3.70,https://www.artanuji.ge/img-site/upload/books/thumb_7574993469.jpg
არტანუჯი,9 მოთხრობა,მიხეილ ჯავახიშვილი,https://www.artanuji.ge/book_ge.php?id=169,978-9994-055-92-0,5.90,https://www.artanuji.ge/img-site/upload/books/thumb_6419162638.jpg
არტანუჯი,9 მოთხრობა,ვაჟა-ფშაველა,https://www.artanuji.ge/book_ge.php?id=168,978-9994-055-25-8,4.00,https://www.artanuji.ge/img-site/upload/books/thumb_8349362672.jpg
არტანუჯი,9 მოთხრობა,დავით კლდიაშვილი,https://www.artanuji.ge/book_ge.php?id=167,978-9994-055-75-3,5.90,https://www.artanuji.ge/img-site/upload/books/thumb_1762769334.jpg
არტანუჯი,მოთხრობები,ეკატერინე გაბაშვილი,https://www.artanuji.ge/book_ge.php?id=166,978-9994-055-73-9,2.95,https://www.artanuji.ge/img-site/upload/books/thumb_6871381369.jpg
არტანუჯი,მოთხრობები,ვაჟა-ფშაველა,https://www.artanuji.ge/book_ge.php?id=165,978-9994-055-72-2,2.95,https://www.artanuji.ge/img-site/upload/books/thumb_8338163509.jpg
არტანუჯი,მოთხრობები,იაკობ გოგებაშვილი,https://www.artanuji.ge/book_ge.php?id=164,978-9994-055-26-5,2.95,https://www.artanuji.ge/img-site/upload/books/thumb_2488981881.jpg
არტანუჯი,ნამწყემსარის მოგონებანი,ალექსანდრე ყაზბეგი,https://www.artanuji.ge/book_ge.php?id=163,978-9941-421-05-1,2.95,https://www.artanuji.ge/img-site/upload/books/thumb_3159129810.jpg
არტანუჯი,სიბრძნე-სიცრუისა,სულხან-საბა ორბელიანი,https://www.artanuji.ge/book_ge.php?id=162,978-9994-055-74-6,4.00,https://www.artanuji.ge/img-site/upload/books/thumb_7667393269.jpg
არტანუჯი,მოთხრობები,სოფრომ მგალობლიშვილი,https://www.artanuji.ge/book_ge.php?id=161,978-9941-421-03-7,2.95,https://www.artanuji.ge/img-site/upload/books/thumb_997452251.jpg
არტანუჯი,მოთხრობები,რევაზ ინანიშვილი,https://www.artanuji.ge/book_ge.php?id=160,978-9941-421-02-0,4.00,https://www.artanuji.ge/img-site/upload/books/thumb_9220286402.jpg
არტანუჯი,მოთხრობები,ნოდარ დუმბაძე,https://www.artanuji.ge/book_ge.php?id=159,978-9941-421-04-4,2.95,https://www.artanuji.ge/img-site/upload/books/thumb_3953880169.jpg
არტანუჯი,მოთხრობები,თედო რაზიკაშვილი,https://www.artanuji.ge/book_ge.php?id=158,978-9994-055-79-1,2.95,https://www.artanuji.ge/img-site/upload/books/thumb_6581092388.jpg
არტანუჯი,მოთხრობები,ნიკო ლომოური,https://www.artanuji.ge/book_ge.php?id=157,978-9994-055-31-9,2.95,https://www.artanuji.ge/img-site/upload/books/thumb_8207055730.jpg
არტანუჯი,ჩემი თავგადასავალი  ,აკაკი წერეთელი,https://www.artanuji.ge/book_ge.php?id=156,978-9994-055-27-2,4.00,https://www.artanuji.ge/img-site/upload/books/thumb_4941809484.jpg
არტანუჯი,ცოფიანი,მიხეილ ჯავახიშვილი,https://www.artanuji.ge/book_ge.php?id=155,978-9941-421-33-4,3.00,https://www.artanuji.ge/img-site/upload/books/thumb_1941273608.jpg
არტანუჯი,ბაში-აჩუკი,აკაკი წერეთელი,https://www.artanuji.ge/book_ge.php?id=154,978-9994-055-37-1,4.00,https://www.artanuji.ge/img-site/upload/books/thumb_4134929953.jpg
არტანუჯი,ჯანყი გურიაში ,ეგნატე ნინოშვილი,https://www.artanuji.ge/book_ge.php?id=153,978-9994-055-76-0,3.70,https://www.artanuji.ge/img-site/upload/books/thumb_3989716549.jpg
არტანუჯი,ტრფობა წამებული,ვასილ ბარნოვი,https://www.artanuji.ge/book_ge.php?id=152,978-9994-055-69-2,5.20,https://www.artanuji.ge/img-site/upload/books/thumb_3401311002.jpg
